run_tag,dataset,kv_quant_scheme,kv_quant_bits,kv_cache_proportion,kv_cache_order_mode,num_samples,token_select_mode,token_select_proportion,token_select_scope,sparse_fuse,index_dtype_bytes,include_scale_overhead,base_model,avg_input_length,bytes_per_sequence,bytes_per_sequence_mib,accuracy,run_root
step8_int8_proj_vnorm_topk_p0p25_20260128_011432,openbookqa,int8,8,1.0,front,500,proj_vnorm_topk,0.25,prompt,True,2,False,Qwen/Qwen3-0.6B,117.926,845352.531,0.8061909971237182,0.504,quantization/data/step_8_selective_transfer/step8_int8_proj_vnorm_topk_p0p25_20260128_011432
step8_int8_proj_vnorm_topk_p0p25_prompt_sf1_20260128_045934,arc_c,int8,8,1.0,front,1150,proj_vnorm_topk,0.25,prompt,True,2,False,Qwen/Qwen3-0.6B,141.31739130434784,1013033.7195652174,0.9661042400028395,0.542608695652174,quantization/data/step_8_selective_transfer/step8_int8_proj_vnorm_topk_p0p25_prompt_sf1_20260128_045934
step8_int8_proj_vnorm_topk_p0p25_prompt_sf1_20260128_045934,openbookqa,int8,8,1.0,front,500,proj_vnorm_topk,0.25,prompt,True,2,False,Qwen/Qwen3-0.6B,117.926,845352.531,0.8061909971237182,0.504,quantization/data/step_8_selective_transfer/step8_int8_proj_vnorm_topk_p0p25_prompt_sf1_20260128_045934
step8_int8_proj_vnorm_topk_p0p5_20260128_011432,arc_c,int8,8,1.0,front,1150,proj_vnorm_topk,0.5,prompt,True,2,False,Qwen/Qwen3-0.6B,141.31739130434784,2026067.4391304348,1.932208480005679,0.5408695652173913,quantization/data/step_8_selective_transfer/step8_int8_proj_vnorm_topk_p0p5_20260128_011432
step8_int8_proj_vnorm_topk_p0p5_20260128_011432,openbookqa,int8,8,1.0,front,500,proj_vnorm_topk,0.5,prompt,True,2,False,Qwen/Qwen3-0.6B,117.926,1690705.062,1.6123819942474364,0.502,quantization/data/step_8_selective_transfer/step8_int8_proj_vnorm_topk_p0p5_20260128_011432
step8_int8_proj_vnorm_topk_p0p5_prompt_sf1_20260128_045934,arc_c,int8,8,1.0,front,1150,proj_vnorm_topk,0.5,prompt,True,2,False,Qwen/Qwen3-0.6B,141.31739130434784,2026067.4391304348,1.932208480005679,0.5408695652173913,quantization/data/step_8_selective_transfer/step8_int8_proj_vnorm_topk_p0p5_prompt_sf1_20260128_045934
step8_int8_proj_vnorm_topk_p0p5_prompt_sf1_20260128_045934,openbookqa,int8,8,1.0,front,500,proj_vnorm_topk,0.5,prompt,True,2,False,Qwen/Qwen3-0.6B,117.926,1690705.062,1.6123819942474364,0.502,quantization/data/step_8_selective_transfer/step8_int8_proj_vnorm_topk_p0p5_prompt_sf1_20260128_045934
step8_int8_proj_vnorm_topk_p1p0_20260128_011432,arc_c,int8,8,1.0,front,1150,proj_vnorm_topk,1.0,prompt,True,2,False,Qwen/Qwen3-0.6B,141.31739130434784,4052134.8782608695,3.864416960011358,0.5504347826086956,quantization/data/step_8_selective_transfer/step8_int8_proj_vnorm_topk_p1p0_20260128_011432
step8_int8_proj_vnorm_topk_p1p0_20260128_011432,openbookqa,int8,8,1.0,front,500,proj_vnorm_topk,1.0,prompt,True,2,False,Qwen/Qwen3-0.6B,117.926,3381410.124,3.224763988494873,0.528,quantization/data/step_8_selective_transfer/step8_int8_proj_vnorm_topk_p1p0_20260128_011432
step8_int8_proj_vnorm_topk_p1p0_prompt_sf1_20260128_045934,arc_c,int8,8,1.0,front,1150,proj_vnorm_topk,1.0,prompt,True,2,False,Qwen/Qwen3-0.6B,141.31739130434784,4052134.8782608695,3.864416960011358,0.5504347826086956,quantization/data/step_8_selective_transfer/step8_int8_proj_vnorm_topk_p1p0_prompt_sf1_20260128_045934
step8_int8_proj_vnorm_topk_p1p0_prompt_sf1_20260128_045934,openbookqa,int8,8,1.0,front,500,proj_vnorm_topk,1.0,prompt,True,2,False,Qwen/Qwen3-0.6B,117.926,3381410.124,3.224763988494873,0.528,quantization/data/step_8_selective_transfer/step8_int8_proj_vnorm_topk_p1p0_prompt_sf1_20260128_045934
step8_int8_random_p0p10_prompt_sf1_20260128_045934,arc_c,int8,8,1.0,front,1150,random,0.1,prompt,True,2,False,Qwen/Qwen3-0.6B,141.31739130434784,405213.48782608705,0.38644169600113587,0.5208695652173913,quantization/data/step_8_selective_transfer/step8_int8_random_p0p10_prompt_sf1_20260128_045934
step8_int8_random_p0p10_prompt_sf1_20260128_045934,openbookqa,int8,8,1.0,front,500,random,0.1,prompt,True,2,False,Qwen/Qwen3-0.6B,117.926,338141.0124,0.3224763988494873,0.482,quantization/data/step_8_selective_transfer/step8_int8_random_p0p10_prompt_sf1_20260128_045934
step8_int8_random_p0p25_prompt_sf1_20260128_045934,arc_c,int8,8,1.0,front,1150,random,0.25,prompt,True,2,False,Qwen/Qwen3-0.6B,141.31739130434784,1013033.7195652174,0.9661042400028395,0.528695652173913,quantization/data/step_8_selective_transfer/step8_int8_random_p0p25_prompt_sf1_20260128_045934
step8_int8_random_p0p25_prompt_sf1_20260128_045934,openbookqa,int8,8,1.0,front,500,random,0.25,prompt,True,2,False,Qwen/Qwen3-0.6B,117.926,845352.531,0.8061909971237182,0.502,quantization/data/step_8_selective_transfer/step8_int8_random_p0p25_prompt_sf1_20260128_045934
step8_int8_random_p0p5_prompt_sf1_20260128_045934,arc_c,int8,8,1.0,front,1150,random,0.5,prompt,True,2,False,Qwen/Qwen3-0.6B,141.31739130434784,2026067.4391304348,1.932208480005679,0.5304347826086957,quantization/data/step_8_selective_transfer/step8_int8_random_p0p5_prompt_sf1_20260128_045934
step8_int8_random_p0p5_prompt_sf1_20260128_045934,openbookqa,int8,8,1.0,front,500,random,0.5,prompt,True,2,False,Qwen/Qwen3-0.6B,117.926,1690705.062,1.6123819942474364,0.5,quantization/data/step_8_selective_transfer/step8_int8_random_p0p5_prompt_sf1_20260128_045934
step8_int8_random_p1p0_prompt_sf1_20260128_045934,arc_c,int8,8,1.0,front,1150,random,1.0,prompt,True,2,False,Qwen/Qwen3-0.6B,141.31739130434784,4052134.8782608695,3.864416960011358,0.5504347826086956,quantization/data/step_8_selective_transfer/step8_int8_random_p1p0_prompt_sf1_20260128_045934
step8_int8_random_p1p0_prompt_sf1_20260128_045934,openbookqa,int8,8,1.0,front,500,random,1.0,prompt,True,2,False,Qwen/Qwen3-0.6B,117.926,3381410.124,3.224763988494873,0.528,quantization/data/step_8_selective_transfer/step8_int8_random_p1p0_prompt_sf1_20260128_045934
step8_int8_vnorm_topk_p0p10_prompt_sf1_20260128_045934,arc_c,int8,8,1.0,front,1150,vnorm_topk,0.1,prompt,True,2,False,Qwen/Qwen3-0.6B,141.31739130434784,405213.48782608705,0.38644169600113587,0.5582608695652174,quantization/data/step_8_selective_transfer/step8_int8_vnorm_topk_p0p10_prompt_sf1_20260128_045934
step8_int8_vnorm_topk_p0p10_prompt_sf1_20260128_045934,openbookqa,int8,8,1.0,front,500,vnorm_topk,0.1,prompt,True,2,False,Qwen/Qwen3-0.6B,117.926,338141.0124,0.3224763988494873,0.522,quantization/data/step_8_selective_transfer/step8_int8_vnorm_topk_p0p10_prompt_sf1_20260128_045934
step8_int8_vnorm_topk_p0p25_prompt_sf1_20260128_045934,arc_c,int8,8,1.0,front,1150,vnorm_topk,0.25,prompt,True,2,False,Qwen/Qwen3-0.6B,141.31739130434784,1013033.7195652174,0.9661042400028395,0.5582608695652174,quantization/data/step_8_selective_transfer/step8_int8_vnorm_topk_p0p25_prompt_sf1_20260128_045934
step8_int8_vnorm_topk_p0p25_prompt_sf1_20260128_045934,openbookqa,int8,8,1.0,front,500,vnorm_topk,0.25,prompt,True,2,False,Qwen/Qwen3-0.6B,117.926,845352.531,0.8061909971237182,0.522,quantization/data/step_8_selective_transfer/step8_int8_vnorm_topk_p0p25_prompt_sf1_20260128_045934
step8_int8_vnorm_topk_p0p5_prompt_sf1_20260128_045934,arc_c,int8,8,1.0,front,1150,vnorm_topk,0.5,prompt,True,2,False,Qwen/Qwen3-0.6B,141.31739130434784,2026067.4391304348,1.932208480005679,0.5617391304347826,quantization/data/step_8_selective_transfer/step8_int8_vnorm_topk_p0p5_prompt_sf1_20260128_045934
step8_int8_vnorm_topk_p0p5_prompt_sf1_20260128_045934,openbookqa,int8,8,1.0,front,500,vnorm_topk,0.5,prompt,True,2,False,Qwen/Qwen3-0.6B,117.926,1690705.062,1.6123819942474364,0.524,quantization/data/step_8_selective_transfer/step8_int8_vnorm_topk_p0p5_prompt_sf1_20260128_045934
step8_int8_vnorm_topk_p1p0_prompt_sf1_20260128_045934,arc_c,int8,8,1.0,front,1150,vnorm_topk,1.0,prompt,True,2,False,Qwen/Qwen3-0.6B,141.31739130434784,4052134.8782608695,3.864416960011358,0.5504347826086956,quantization/data/step_8_selective_transfer/step8_int8_vnorm_topk_p1p0_prompt_sf1_20260128_045934
step8_int8_vnorm_topk_p1p0_prompt_sf1_20260128_045934,openbookqa,int8,8,1.0,front,500,vnorm_topk,1.0,prompt,True,2,False,Qwen/Qwen3-0.6B,117.926,3381410.124,3.224763988494873,0.528,quantization/data/step_8_selective_transfer/step8_int8_vnorm_topk_p1p0_prompt_sf1_20260128_045934
